position_id,pharmacy,venue_url,venue_slug,search_query,product_name,item_id,strict_name
vitrum_30_aksay2,Dobraya Aksay 2,https://wolt.com/en/kaz/almaty/venue/dobraya-apteka-aksai-2,,vitrum,,,false
theraflu_10_aksay2,Dobraya Aksay 2,https://wolt.com/en/kaz/almaty/venue/dobraya-apteka-aksai-2,,theraflu,,,false
